model_family,Model,model_name,MAX_CANDS,user_bin,nDCG10_mean,nDCG10_std,HR10_mean,HR10_std,MRR10_mean,MRR10_std,n_users,n_interactions,feasible_cases,total_cases,n_seeds_success,bin_rule,nDCG@10,HR@10,MRR@10
CBF,CBF-bge-m3,bge-m3,50,heavy,0.8176212838590436,0.23560895888386107,1.0,0.0,0.7566666666666666,0.3127127628202139,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.8176±0.2356,1.0000,0.7567
CBF,CBF-bge-m3,bge-m3,50,mid,0.8446917267942251,0.23595728994949194,0.9891891891891892,0.10369212315422187,0.7964178464178464,0.30204493932514764,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.8447±0.2360,0.9892,0.7964
CBF,CBF-bge-m3,bge-m3,100,cold,0.8604673447000759,0.23793531536746323,0.984070796460177,0.1253126385897367,0.8195582244697289,0.2982907883005316,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.8605±0.2379,0.9841,0.8196
CBF,CBF-bge-m3,bge-m3,100,heavy,0.8515908766776659,0.2546411486929255,1.0,0.0,0.8049999999999999,0.3337109929563654,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.8516±0.2546,1.0000,0.8050
CBF,CBF-bge-m3,bge-m3,100,mid,0.84683766066912,0.22841609007391311,0.9945945945945946,0.07352146220938076,0.7975418275418276,0.29702330672718114,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.8468±0.2284,0.9946,0.7975
CBF,CBF-bge-m3,bge-m3,200,cold,0.8664817198927302,0.23045814816230611,0.9964601769911504,0.059443643284366174,0.8244086248068548,0.2995525663757747,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.8665±0.2305,0.9965,0.8244
CBF,CBF-bge-m3,bge-m3,200,heavy,0.8533681132738159,0.21899756805140888,1.0,0.0,0.8041666666666667,0.29056648001850605,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.8534±0.2190,1.0000,0.8042
CBF,CBF-bge-m3,bge-m3,200,mid,0.8549520644093417,0.2239633480621914,1.0,0.0,0.807033462033462,0.2961098307260598,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.8550±0.2240,1.0000,0.8070
CBF,CBF-multilingual-e5-large,multilingual-e5-large,50,cold,0.8739724087289283,0.21933298109351132,0.9964601769911504,0.05944364328436618,0.8335559769630565,0.2861864279682185,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.8740±0.2193,0.9965,0.8336
CBF,CBF-multilingual-e5-large,multilingual-e5-large,50,heavy,0.8799236254066617,0.21082210410980368,1.0,0.0,0.84,0.27921619907117634,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.8799±0.2108,1.0000,0.8400
CBF,CBF-multilingual-e5-large,multilingual-e5-large,50,mid,0.8596402116210948,0.23067719110122067,0.9945945945945946,0.07352146220938077,0.8153410553410553,0.29887370911471844,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.8596±0.2307,0.9946,0.8153
CBF,CBF-multilingual-e5-large,multilingual-e5-large,100,cold,0.8725129025824447,0.22703547305967303,0.9893805309734514,0.10259300559779845,0.8338226522739797,0.28899638667524924,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.8725±0.2270,0.9894,0.8338
CBF,CBF-multilingual-e5-large,multilingual-e5-large,100,heavy,0.8777749145863909,0.22988614247642497,1.0,0.0,0.8386111111111111,0.3024048196839322,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.8778±0.2299,1.0000,0.8386
CBF,CBF-multilingual-e5-large,multilingual-e5-large,100,mid,0.8691356362714532,0.21406591821646595,1.0,0.0,0.8258537108537108,0.282581588544378,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.8691±0.2141,1.0000,0.8259
CBF,CBF-multilingual-e5-large,multilingual-e5-large,200,cold,0.8652601288439371,0.2281911557991906,0.9946902654867257,0.07273861194360656,0.8229091164489395,0.29528336138294337,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.8653±0.2282,0.9947,0.8229
CBF,CBF-multilingual-e5-large,multilingual-e5-large,200,heavy,0.8916332149274132,0.205175023948755,1.0,0.0,0.8555555555555556,0.2724000513856256,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.8916±0.2052,1.0000,0.8556
CBF,CBF-multilingual-e5-large,multilingual-e5-large,200,mid,0.8465731389739887,0.22046135406532988,1.0,0.0,0.7952531102531102,0.2922688193663601,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.8466±0.2205,1.0000,0.7953
CBF,CBF-paraphrase-multilingual-mpnet-base-v2,paraphrase-multilingual-mpnet-base-v2,50,cold,0.7640891271663589,0.29581582893635966,0.9646017699115044,0.18494792921707595,0.7002409046214356,0.3618874505149875,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.7641±0.2958,0.9646,0.7002
CBF,CBF-paraphrase-multilingual-mpnet-base-v2,paraphrase-multilingual-mpnet-base-v2,50,heavy,0.7299875966663826,0.27724201599277243,1.0,0.0,0.6449470899470899,0.36028975943743036,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.7300±0.2772,1.0000,0.6449
CBF,CBF-paraphrase-multilingual-mpnet-base-v2,paraphrase-multilingual-mpnet-base-v2,50,mid,0.7446811234238809,0.2866345623617402,0.9837837837837838,0.12664893602582983,0.6691763191763191,0.3625817154939978,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.7447±0.2866,0.9838,0.6692
CBF,CBF-paraphrase-multilingual-mpnet-base-v2,paraphrase-multilingual-mpnet-base-v2,100,cold,0.7567450267955868,0.3026490963271107,0.9557522123893806,0.20582736220299805,0.6930924287118978,0.36600340667749504,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.7567±0.3026,0.9558,0.6931
CBF,CBF-paraphrase-multilingual-mpnet-base-v2,paraphrase-multilingual-mpnet-base-v2,100,heavy,0.6896483268593616,0.3176522003634265,0.9666666666666667,0.18257418583505536,0.6043518518518519,0.3927698271896157,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.6896±0.3177,0.9667,0.6044
CBF,CBF-paraphrase-multilingual-mpnet-base-v2,paraphrase-multilingual-mpnet-base-v2,100,mid,0.7602195474302003,0.29740493407052276,0.9567567567567568,0.20395617141677627,0.6970677820677821,0.3585204385810262,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.7602±0.2974,0.9568,0.6971
CBF,CBF-paraphrase-multilingual-mpnet-base-v2,paraphrase-multilingual-mpnet-base-v2,200,cold,0.7565382648714299,0.3024937751883257,0.9663716814159292,0.18043024794623783,0.6907093692934401,0.37192837303140225,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.7565±0.3025,0.9664,0.6907
CBF,CBF-paraphrase-multilingual-mpnet-base-v2,paraphrase-multilingual-mpnet-base-v2,200,heavy,0.7664462514623797,0.30068822100958764,1.0,0.0,0.6963756613756614,0.3886242681413506,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.7664±0.3007,1.0000,0.6964
CBF,CBF-paraphrase-multilingual-mpnet-base-v2,paraphrase-multilingual-mpnet-base-v2,200,mid,0.7426694311688837,0.3047758824522858,0.9675675675675676,0.17762633907651482,0.6723294723294724,0.3759671210783516,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.7427±0.3048,0.9676,0.6723
CBF,CBF-wangchanberta-base-att-spm-uncased,wangchanberta-base-att-spm-uncased,50,cold,0.718623041853659,0.2984397060101199,0.9734513274336283,0.1609026505799712,0.638440792246102,0.3723384847138252,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.7186±0.2984,0.9735,0.6384
CBF,CBF-wangchanberta-base-att-spm-uncased,wangchanberta-base-att-spm-uncased,50,heavy,0.7686686235910767,0.2944237378557891,1.0,0.0,0.6978174603174604,0.38298591117775976,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.7687±0.2944,1.0000,0.6978
CBF,CBF-wangchanberta-base-att-spm-uncased,wangchanberta-base-att-spm-uncased,50,mid,0.7121945814280907,0.28851730713339974,0.9837837837837838,0.12664893602582986,0.6266151866151867,0.36526725566452845,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.7122±0.2885,0.9838,0.6266
CBF,CBF-wangchanberta-base-att-spm-uncased,wangchanberta-base-att-spm-uncased,100,cold,0.7130560291583655,0.3089431049322356,0.9504424778761061,0.2172212870649028,0.6374048321393454,0.3729622198673248,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.7131±0.3089,0.9504,0.6374
CBF,CBF-wangchanberta-base-att-spm-uncased,wangchanberta-base-att-spm-uncased,100,heavy,0.7201841503389395,0.30768290968205275,0.9666666666666667,0.18257418583505536,0.6423544973544975,0.3804618765278771,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.7202±0.3077,0.9667,0.6424
CBF,CBF-wangchanberta-base-att-spm-uncased,wangchanberta-base-att-spm-uncased,100,mid,0.7373733072960265,0.291196971468454,0.9783783783783784,0.1458392785985266,0.660978120978121,0.36590945648756945,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.7374±0.2912,0.9784,0.6610
CBF,CBF-wangchanberta-base-att-spm-uncased,wangchanberta-base-att-spm-uncased,200,cold,0.7197962295017575,0.30944487541069615,0.9557522123893806,0.20582736220299805,0.6453392330383481,0.37607010919250267,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.7198±0.3094,0.9558,0.6453
