Model,Seed,MAX_CANDS,best_b_cbf,coverage_rate,feasible_nDCG@10,feasible_HR@10,feasible_MRR@10,feasible_cases,total_cases,best_b,cbf_model,cf_model,blend_method,method_params,is_selected_best,blend_params,explanation_type,explanation_distribution,reason_th,topk_longtail_rate_mean_x,topk_avg_popularity_mean_x,coverage_item_catalog_rate,faithfulness_mean_rank_drop,model_family,model_name,run_id,config_hash,xai_conf_mean,xai_coverage_rate_topk,xai_balanced_rate,xai_faithfulness_drop_mean,topk_longtail_rate_mean_y,topk_avg_popularity_mean_y,ndcg_cold_mean,ndcg_heavy_mean,ndcg_mid_mean,hr_cold_mean,hr_heavy_mean,hr_mid_mean,mrr_cold_mean,mrr_heavy_mean,mrr_mid_mean
CBF-wangchanberta-base-att-spm-uncased,123,200,0.2,1.0,0.7065927353530785,0.967948717948718,0.6239494301994303,156,156,,,,,,True,,,,,,,,,CBF,wangchanberta-base-att-spm-uncased,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-wangchanberta-base-att-spm-uncased,999,200,0.2,1.0,0.7336429492510685,0.9358974358974359,0.6694062881562882,156,156,,,,,,True,,,,,,,,,CBF,wangchanberta-base-att-spm-uncased,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-wangchanberta-base-att-spm-uncased,2024,200,0.2,1.0,0.7314831963381127,0.967948717948718,0.6576948514448514,156,156,,,,,,True,,,,,,,,,CBF,wangchanberta-base-att-spm-uncased,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-wangchanberta-base-att-spm-uncased,555,200,0.2,1.0,0.7007017449544802,0.9551282051282052,0.620970695970696,156,156,,,,,,True,,,,,,,,,CBF,wangchanberta-base-att-spm-uncased,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-multilingual-e5-large,42,50,0.1,1.0,0.8737039949282634,0.9935897435897436,0.8344551282051279,156,156,,,,,,True,,,,,,,,,CBF,multilingual-e5-large,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-multilingual-e5-large,123,50,0.1,1.0,0.8489657248743945,0.9935897435897436,0.8014219576719578,156,156,,,,,,True,,,,,,,,,CBF,multilingual-e5-large,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-multilingual-e5-large,999,50,0.1,1.0,0.8786558716298148,0.9935897435897436,0.8402574277574276,156,156,,,,,,True,,,,,,,,,CBF,multilingual-e5-large,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-multilingual-e5-large,2024,50,0.05,1.0,0.8529091519113831,1.0,0.8044948107448107,156,156,,,,,,True,,,,,,,,,CBF,multilingual-e5-large,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-multilingual-e5-large,555,50,0.1,1.0,0.8997752492455445,1.0,0.8667887667887667,156,156,,,,,,True,,,,,,,,,CBF,multilingual-e5-large,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-multilingual-e5-large,42,100,0.1,1.0,0.8734623361742135,0.9871794871794872,0.8356735856735857,156,156,,,,,,True,,,,,,,,,CBF,multilingual-e5-large,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-multilingual-e5-large,123,100,0.1,1.0,0.8815893228232609,1.0,0.8423153235653233,156,156,,,,,,True,,,,,,,,,CBF,multilingual-e5-large,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-multilingual-e5-large,999,100,0.1,1.0,0.8791061326372517,1.0,0.8391348501925424,156,156,,,,,,True,,,,,,,,,CBF,multilingual-e5-large,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-multilingual-e5-large,2024,100,0.05,1.0,0.8439924218572502,0.9807692307692307,0.798527167277167,156,156,,,,,,True,,,,,,,,,CBF,multilingual-e5-large,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-multilingual-e5-large,555,100,0.1,1.0,0.8814211333470712,0.9935897435897436,0.8449328449328448,156,156,,,,,,True,,,,,,,,,CBF,multilingual-e5-large,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
